selection_topic,ID,EventDate,Employer,Primary NAICS,Hospitalized,Amputation,Loss of Eye,NatureTitle,Part of Body Title,EventTitle,SourceTitle,Final Narrative,text,human_sif_label,human_action,human_object,human_control_deficiency,human_iogp_rule
hot_work,2023087792,8/24/2023,CATBRIDGE MACHINERY L.L.C.,333244,1.0,0.0,0.0,Fractures,"Leg(s), unspecified","Struck by falling object or equipment, n.e.c.","Structural metal materials, n.e.c.","An employee and an assistant were disassembling two weldments that were approximately 6-feet tall, 3-feet wide, and 550 pounds. The weldments were held together by a connecting beam and tie bar. The first weldment was top strapped with an overhead crane to support the assembly and the second weldment was left free-standing. The employee removed the connecting beam and turned to walk away. One of the weldments tipped over onto the employee, causing them to fall to the ground and become pinned beneath the weldment. The employee sustained a compound fracture of the left leg and bruising to their torso and arm.","An employee and an assistant were disassembling two weldments that were approximately 6-feet tall, 3-feet wide, and 550 pounds. The weldments were held together by a connecting beam and tie bar. The first weldment was top strapped with an overhead crane to support the assembly and the second weldment was left free-standing. The employee removed the connecting beam and turned to walk away. One of the weldments tipped over onto the employee, causing them to fall to the ground and become pinned beneath the weldment. The employee sustained a compound fracture of the left leg and bruising to their torso and arm.",1.0,maintenance_repair,machinery,none,Line of Fire
hot_work,2025099668,9/26/2025,Suit Kote Corporation,237310,1.0,0.0,0.0, Fractures   ," Toes(s), toenail(s)", Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area, Vehicle  unspecified,"The injured employee was watching a crew remove the front drum door from underneath an asphalt grinding/milling machine. He was standing approximately 10 feet away. A chain was being used to drag the door out from under the grinder. As the door (weighing approximately 2,500 pounds) was being pulled out, one side came in contact with the grinder's tracked wheel. The continued force on the door caused it to suddenly pivot around the track foot and strike the injured employee's right foot. This knocked him to the ground and flattened his right boot for an instant, but did not pin him there. The first four toes on his right foot were fractured.","The injured employee was watching a crew remove the front drum door from underneath an asphalt grinding/milling machine. He was standing approximately 10 feet away. A chain was being used to drag the door out from under the grinder. As the door (weighing approximately 2,500 pounds) was being pulled out, one side came in contact with the grinder's tracked wheel. The continued force on the door caused it to suddenly pivot around the track foot and strike the injured employee's right foot. This knocked him to the ground and flattened his right boot for an instant, but did not pin him there. The first four toes on his right foot were fractured.",1.0,material_handling,machinery,none,Line of Fire
excavation,2015063371,6/3/2015,"AR Daniel Construction, Inc.",237110,1.0,0.0,0.0,Fractures,Multiple face locations,"Struck by dislodged flying object, particle",Angle irons,"On or about 3 June 2015, at approximately 1825 hours, an AR Daniel Construction employee was hospitalized due to an injury acquired at the jobsite. The employee was working in a trench under the railroad tracks located at Grand and 3rd street in Amarillo, Texas, when he was struck in the face by a piece of angle iron that was being used to hoist the pipeline that he was working near. The angle iron was inside the pipe, and a line was tied to the angle iron to hoist the pipe up enough for the employee to remove wood planking from underneath it. The angle iron became dislodged and struck him, causing multiple facial fractures and lacerations.","On or about 3 June 2015, at approximately 1825 hours, an AR Daniel Construction employee was hospitalized due to an injury acquired at the jobsite. The employee was working in a trench under the railroad tracks located at Grand and 3rd street in Amarillo, Texas, when he was struck in the face by a piece of angle iron that was being used to hoist the pipeline that he was working near. The angle iron was inside the pipe, and a line was tied to the angle iron to hoist the pipe up enough for the employee to remove wood planking from underneath it. The angle iron became dislodged and struck him, causing multiple facial fractures and lacerations.",1.0,lifting,pipeline,none,Line of Fire
excavation,2017109692,10/9/2017,"HENKELS & MC COY, INC.",237120,1.0,0.0,0.0,Concussions,Brain,"Struck by dislodged flying object, particle","Tools, instruments, and equipment, n.e.c.","On October 9, 2017, at approximately 10:00 a.m., a traveling crew was working on a new natural gas pipeline installation. The crew was forcefully inserting a plunger (under mechanical pressure from an excavator) into the pipeline for standard pipe cleaning when its apparatus became disconnected from the excavator and flew out, striking the injured employee in the head/face. He lost consciousness and suffered a concussion, multiple contusions, multiple abrasions, and fractures to the nose and nasal cavity. He was hospitalized.","On October 9, 2017, at approximately 10:00 a.m., a traveling crew was working on a new natural gas pipeline installation. The crew was forcefully inserting a plunger (under mechanical pressure from an excavator) into the pipeline for standard pipe cleaning when its apparatus became disconnected from the excavator and flew out, striking the injured employee in the head/face. He lost consciousness and suffered a concussion, multiple contusions, multiple abrasions, and fractures to the nose and nasal cavity. He was hospitalized.",1.0,maintenance_repair,pipeline,unknown_stored_energy,Line of Fire
excavation,2020098574,9/9/2020,NPL Construction Company,237120,1.0,1.0,0.0,Amputations,Fingertip(s),Caught in running equipment or machinery during regular operation,"Compactors, crushers, pulverizers-earth, mineral","On September 9, 2020, an employee was attempting to start a vibrating tamper in order to continue compacting backfill material in a completed excavation. The employee pulled the starter cord multiple times. After the pull which started the engine, the pull cord of the vibrating tamper did not recoil correctly. The employee gathered the excess cord in his left hand in order to prevent an additional slip, trip, or fall hazard. When he engaged the throttle of the machine with his right hand, the pull cord retracted, wrapped around the employee s left thumb, and caused a partial amputation of the thumb tip.","On September 9, 2020, an employee was attempting to start a vibrating tamper in order to continue compacting backfill material in a completed excavation. The employee pulled the starter cord multiple times. After the pull which started the engine, the pull cord of the vibrating tamper did not recoil correctly. The employee gathered the excess cord in his left hand in order to prevent an additional slip, trip, or fall hazard. When he engaged the throttle of the machine with his right hand, the pull cord retracted, wrapped around the employee s left thumb, and caused a partial amputation of the thumb tip.",0.0,maintenance_repair,machinery,none,Line of Fire
excavation,2023032772,3/28/2023,Newt Marine Services,237990,1.0,0.0,0.0,Fractures,"Jaw, chin",Machinery or equipment incident on water vehicle,Barge,"A crew was preparing to replace a sheave on a spud on a platform barge. The spud was hoisted up with an excavator using a chain rigging so that the sheave could be changed. The injured employee was pulling the cable from the spud hoist drum to provide enough slack in the cable line. When additional cable was released from the hoist drum,  the chain rigging around the spud slipped, causing the spud to fall suddenly. The hoist cable quickly tightened and the cable raised off the deck of the barge. The injured employee was then struck by the one-inch, steel cable, resulting in a lower jaw bone fracture.","A crew was preparing to replace a sheave on a spud on a platform barge. The spud was hoisted up with an excavator using a chain rigging so that the sheave could be changed. The injured employee was pulling the cable from the spud hoist drum to provide enough slack in the cable line. When additional cable was released from the hoist drum, the chain rigging around the spud slipped, causing the spud to fall suddenly. The hoist cable quickly tightened and the cable raised off the deck of the barge. The injured employee was then struck by the one-inch, steel cable, resulting in a lower jaw bone fracture.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
excavation,2025032986,3/31/2025,East Ohio Gas Company,221210,1.0,0.0,0.0, Fractures   , Lower leg(s)," Struck by rolling, sliding, or shifting objects non-running"," Pipes, tubes  metal","An employee was performing a pipe count while a pipeline contractor was unloading steel pipe at a staging yard. The contractor was preparing to set a pipe segment (12  diameter) on the top row of a pyramid-shaped stack using an excavator. The contractor was making his final adjustments before setting the pipe when the injured employee (Enbridge Inspector) went to get label information from one of the pipes in the stack. The pipe stack shifted as the contractor began to position the pipe, and the bottom piece (42 feet long and 2,083 pounds) rolled onto the injured employee s lower left leg, trapping the employee underneath it. The employee was hospitalized with a compound fracture of his tibia and fibula and he required surgery.","An employee was performing a pipe count while a pipeline contractor was unloading steel pipe at a staging yard. The contractor was preparing to set a pipe segment (12 diameter) on the top row of a pyramid-shaped stack using an excavator. The contractor was making his final adjustments before setting the pipe when the injured employee (Enbridge Inspector) went to get label information from one of the pipes in the stack. The pipe stack shifted as the contractor began to position the pipe, and the bottom piece (42 feet long and 2,083 pounds) rolled onto the injured employee s lower left leg, trapping the employee underneath it. The employee was hospitalized with a compound fracture of his tibia and fibula and he required surgery.",1.0,lifting,pipeline,none,Safe Mechanical Lifting
vehicle_driving,2015075035,7/24/2015,KOYO BEARINGS USA LLC,332991,1.0,1.0,0.0,Amputations,"Toes(s), toenail(s)",Part of occupant s body caught between vehicle and other object in nonroadway transport incident,"Industrial vehicle, material hauling and transport-powered, unspecified","An employee was positioning the lift truck to pick up a tub of parts. He backed into parts tubs behind him and made a rapid forward correction. The quick movement threw him off balance and he fell back. He attempted to steady himself by shifting his left foot, which placed the toe of his foot outside the body of the lift truck. His momentum caused him to pull back on the controls, reversing the lift and causing his left foot to get caught between the lift truck and a tub.  The force crushed the steel toe cap of his safety shoe. He sustained bone and tissue damage to the first four toes of his left foot.","An employee was positioning the lift truck to pick up a tub of parts. He backed into parts tubs behind him and made a rapid forward correction. The quick movement threw him off balance and he fell back. He attempted to steady himself by shifting his left foot, which placed the toe of his foot outside the body of the lift truck. His momentum caused him to pull back on the controls, reversing the lift and causing his left foot to get caught between the lift truck and a tub. The force crushed the steel toe cap of his safety shoe. He sustained bone and tissue damage to the first four toes of his left foot.",0.0,driving,vehicle,none,Driving
vehicle_driving,2017021680,2/21/2017,Domain Builders LLC,236116,1.0,0.0,0.0,"Avulsions, enucleations",Ear(s),Struck by object falling from vehicle or machinery-other than vehicle part,"Wire, cables-nonelectrical","An employee was sweeping the area in front of a work site when a flatbed truck containing post tension cables arrived. The truck pulled in through a gate and stopped to begin off-loading the post tension cables. The forklift operator unlatched the post tension cables and then noticed that the truck had stopped near a mound of dirt which the operator could not access with the forklift. When the truck moved forward, a post tension cable shifted and fell off the truck striking the employee who was sweeping in the face causing multiple lacerations and severing the top part of his left ear.","An employee was sweeping the area in front of a work site when a flatbed truck containing post tension cables arrived. The truck pulled in through a gate and stopped to begin off-loading the post tension cables. The forklift operator unlatched the post tension cables and then noticed that the truck had stopped near a mound of dirt which the operator could not access with the forklift. When the truck moved forward, a post tension cable shifted and fell off the truck striking the employee who was sweeping in the face causing multiple lacerations and severing the top part of his left ear.",1.0,material_handling,vehicle,none,Line of Fire
vehicle_driving,2020010105,1/6/2020,LENDLEASE (US) CONSTRUCTION LMB INC.,236220,1.0,0.0,0.0,Fractures,Ankle(s),Struck by object falling from vehicle or machinery-other than vehicle part,Beams-unattached metal,"On, January 6, 2020, an employee was unloading a steel delivery of 15' 9'' long ""I"" beams. After the steel was taken off the truck by a forklift, it was set down on two A-frames and rolled to a storage location by two employees. There was one employee on each A-frame. The steel on the A-frames was on uneven ground near a curb and sewer drain while the employees waited for help to remove it from the A-frames and place it on the ground. While waiting, one employee walked in between the A-frame and sewer grate, which is slightly pitched for drainage, placing one foot on the curb and the other on the grating with his back to the steel beam. The A-frame slowly started moving down toward the grating. Once the front wheel of the A-frame hit the grating, it tipped over, causing the steel beam to roll toward the ground and land on the employee's leg, knocking him to the ground. He suffered a broken ankle and was hospitalized.","On, January 6, 2020, an employee was unloading a steel delivery of 15' 9'' long ""I"" beams. After the steel was taken off the truck by a forklift, it was set down on two A-frames and rolled to a storage location by two employees. There was one employee on each A-frame. The steel on the A-frames was on uneven ground near a curb and sewer drain while the employees waited for help to remove it from the A-frames and place it on the ground. While waiting, one employee walked in between the A-frame and sewer grate, which is slightly pitched for drainage, placing one foot on the curb and the other on the grating with his back to the steel beam. The A-frame slowly started moving down toward the grating. Once the front wheel of the A-frame hit the grating, it tipped over, causing the steel beam to roll toward the ground and land on the employee's leg, knocking him to the ground. He suffered a broken ankle and was hospitalized.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
vehicle_driving,2023098416,9/12/2023,Byrne DeWitt LLC,311511,1.0,1.0,0.0,Amputations,"Leg(s), unspecified",Pedestrian struck by forward-moving vehicle in nonroadway area,"Semi, tractor-trailer, tanker truck","An employee parked his semi-tractor under a trailer at dock door #9. He exited the truck and entered the cooler building to confirm that the trailer door was closed and ready for him to drive away with a full load. He opened dock door #10 and saw the truck staged there begin to pull away from the dock. He thought this was his truck rolling away unattended, so he ran outside, caught up with the truck, and attempted to grab the door handle just as the truck turned right. He fell to the ground and was run over by the truck. The employee sustained severe injury to his left leg, with multiple broken bones, and muscle and tissue damage. He also suffered a break to his right arm, and an amputation to his left leg.","An employee parked his semi-tractor under a trailer at dock door #9. He exited the truck and entered the cooler building to confirm that the trailer door was closed and ready for him to drive away with a full load. He opened dock door #10 and saw the truck staged there begin to pull away from the dock. He thought this was his truck rolling away unattended, so he ran outside, caught up with the truck, and attempted to grab the door handle just as the truck turned right. He fell to the ground and was run over by the truck. The employee sustained severe injury to his left leg, with multiple broken bones, and muscle and tissue damage. He also suffered a break to his right arm, and an amputation to his left leg.",1.0,driving,vehicle,none,Driving
vehicle_driving,2025088318,8/20/2025,Eastern Colorado Services,623210,1.0,0.0,0.0, Fractures   ," Rib(s), oblique area", Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area, Pickup truck,"The injured employee was assisting with removing a metal pole used for a basketball hoop. Employees had cut down the pole to almost ground level. They put a tow rope around the remaining pole and hooked it to the hitch of a pickup truck to pull it out of the ground. The injured employee was standing by the pole to guide the rope. When the pole came out of the ground, it swung up and struck the injured employee on the left side above his waist and the right side of his head. He was knocked to the ground and his left calf was scraped. The injured employee was hospitalized with a fractured rib and lacerations. He required surgery.","The injured employee was assisting with removing a metal pole used for a basketball hoop. Employees had cut down the pole to almost ground level. They put a tow rope around the remaining pole and hooked it to the hitch of a pickup truck to pull it out of the ground. The injured employee was standing by the pole to guide the rope. When the pole came out of the ground, it swung up and struck the injured employee on the left side above his waist and the right side of his head. He was knocked to the ground and his left calf was scraped. The injured employee was hospitalized with a fractured rib and lacerations. He required surgery.",1.0,material_handling,vehicle,none,Line of Fire
confined_space,2015010924,1/29/2015,"Ground Force Worldwide, LLC (Underground)",333131,1.0,0.0,0.0,"Poisoning, toxic, noxious, or allergenic effect, unspecified",BODY SYSTEMS,"Exposure to harmful substances or environments, unspecified",Paint,"Employee was painting the interior space on a 6000-gallon water tank. He was wearing a fresh air respirator; the compressor was outside with a line that ran into the confined space through an access point on top. The tank attendant didn't get a response so 911 was called and entry was restricted until the air was confirmed clear.  By the time the all clear was issued, firefighters arrived and performed rescue operations. The employee was taken to Kootenai Medical Center. He had a pulse and was breathing on his own, but was still unresponsive. His PPE included a  Survivair Respirator with compressor, full enviro air suit, Tychem SL chemical suit, another paint suit underneath, and a Bullard hose system.","Employee was painting the interior space on a 6000-gallon water tank. He was wearing a fresh air respirator; the compressor was outside with a line that ran into the confined space through an access point on top. The tank attendant didn't get a response so 911 was called and entry was restricted until the air was confirmed clear. By the time the all clear was issued, firefighters arrived and performed rescue operations. The employee was taken to Kootenai Medical Center. He had a pulse and was breathing on his own, but was still unresponsive. His PPE included a Survivair Respirator with compressor, full enviro air suit, Tychem SL chemical suit, another paint suit underneath, and a Bullard hose system.",1.0,confined_space,tank,none,Confined Space
confined_space,2017065671,6/21/2017,Inteplast Group,326111,0.0,2.0,0.0,Amputations,Fingertip(s),"Caught in running equipment or machinery during maintenance, cleaning ","Metal, woodworking, and special material machinery, n.e.c.","An employee went to check a time-out on a blender tank that was jammed. He was trying to clear the jam when the blender's slide gate closed on and amputated his left ring, middle, and pointer fingertips. The blender cover was removed at the time of the incident.

An employee was collecting plastic sheets from a table and got his finger caught on the green band on the table roller resulting in amputation of the right pinky finger.

Note to user: This record contains two separate events that were reported simultaneously to OSHA by the employer. These events are captured as one report.","An employee went to check a time-out on a blender tank that was jammed. He was trying to clear the jam when the blender's slide gate closed on and amputated his left ring, middle, and pointer fingertips. The blender cover was removed at the time of the incident. An employee was collecting plastic sheets from a table and got his finger caught on the green band on the table roller resulting in amputation of the right pinky finger. Note to user: This record contains two separate events that were reported simultaneously to OSHA by the employer. These events are captured as one report.",1.0,maintenance_repair,machinery,none,Line of Fire
confined_space,2020098977,9/22/2020,Illini Environmental Inc,541711,1.0,0.0,0.0,Fractures,"Back, including spine, spinal cord, unspecified",Other fall to lower level 11 to 15 feet ,"Semi, tractor-trailer, tanker truck","A truck driver was attempting to drain waste milk from a tanker into a designated disposal area. The liquid in the tanker would not drain and the driver contacted the injured employee for assistance. The injured employee drove to the disposal site to investigate. The disposal site (owned & operated by a separate employer) provided a PVC pipe with a scoop at the end of it for the injured employee to take a sample of the liquid in the tanker to determine why the liquid would not drain. The injured employee climbed to the top of the tanker. During the maneuvering of the PVC pipe into the liquid, the handle of the pipe contacted an overhead electrical line and the injured employee received an electric shock. The employee then fell approximately 15 feet to the ground. The employee suffered a broken back resulting in paralysis and hospitalization.","A truck driver was attempting to drain waste milk from a tanker into a designated disposal area. The liquid in the tanker would not drain and the driver contacted the injured employee for assistance. The injured employee drove to the disposal site to investigate. The disposal site (owned & operated by a separate employer) provided a PVC pipe with a scoop at the end of it for the injured employee to take a sample of the liquid in the tanker to determine why the liquid would not drain. The injured employee climbed to the top of the tanker. During the maneuvering of the PVC pipe into the liquid, the handle of the pipe contacted an overhead electrical line and the injured employee received an electric shock. The employee then fell approximately 15 feet to the ground. The employee suffered a broken back resulting in paralysis and hospitalization.",1.0,working_at_height,vehicle,none,Work at Height
confined_space,2023032449,3/17/2023,"Crowley Liner Services, Inc.",488320,1.0,0.0,0.0,Fractures,Pelvis,Other fall to lower level less than 6 feet,"Cranes-gantry, overhead, monorail, container","On March 17, 2023, an employee was driving a truck that was hauling a bomb cart containing a 20-foot tank to be loaded onto a cargo ship. The employee positioned the bomb cart under a gantry crane which then hooked onto the tank and lifted it up about 3 feet. The tank's corner section snagged the bomb cart, which lifted the truck with the employee inside its cab. As the crane was lowering the tank, the corner of the tank dislodged from the bomb cart. The cart and the truck dropped back to the ground and the employee's head hit a metal part of the cab . The employee sustained a laceration to the back of the head and a fracture to the pelvis that required hospitalization.","On March 17, 2023, an employee was driving a truck that was hauling a bomb cart containing a 20-foot tank to be loaded onto a cargo ship. The employee positioned the bomb cart under a gantry crane which then hooked onto the tank and lifted it up about 3 feet. The tank's corner section snagged the bomb cart, which lifted the truck with the employee inside its cab. As the crane was lowering the tank, the corner of the tank dislodged from the bomb cart. The cart and the truck dropped back to the ground and the employee's head hit a metal part of the cab . The employee sustained a laceration to the back of the head and a fracture to the pelvis that required hospitalization.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
confined_space,2025021470,2/14/2025,"Raceland Raw Sugar, LLC",311314,1.0,0.0,0.0, Fractures   , Multiple leg locations  n.e.c., Other contact with non-running objects or equipment  n.e.c.," Bucket, front-end, and pay loaders","The injured employee and a co-worker were moving a tank car loaded with molasses from the loading station to the designated side of the facility using a wheel loader to pull the rail car. The employees reached an incline and applied the handbrake. While they repositioned the wheel loader to push the rail car the remaining distance to their destination, the rail car started to move backward. The injured employee climbed onto the rear platform of the car to tighten the brake, but the rail car collided with the loader bucket and the employee suffered fractures to their right femur and tibia.","The injured employee and a co-worker were moving a tank car loaded with molasses from the loading station to the designated side of the facility using a wheel loader to pull the rail car. The employees reached an incline and applied the handbrake. While they repositioned the wheel loader to push the rail car the remaining distance to their destination, the rail car started to move backward. The injured employee climbed onto the rear platform of the car to tighten the brake, but the rail car collided with the loader bucket and the employee suffered fractures to their right femur and tibia.",1.0,material_handling,vehicle,none,Line of Fire
chemical,2015052849,5/13/2015,ARBAUGH LLC,325320,1.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), n.e.c.","Caught in running equipment or machinery during maintenance, cleaning ","Bottling, canning, filling machinery","At approximately 1:00 p.m., on 05/13/15, an employee was preparing to perform cleanout operations to change chemical products on a production line. The employee, who was by herself at the time, got stuck and pulled into an energized Horix Filling Machine. Coworkers arrived after hearing her scream, pressed the stop button on the Horix Filling Machine to shut it down, and used a tool to manually back up the machine belt. The employee was extracted from the machine by her coworkers. She suffered multiple injuries to her right arm and hand, including a 6"" laceration (to the bone) on her forearm, a severe laceration to her upper arm, a fracture or break of her wrist or forearm, and a possible right thumb amputation. She was hospitalized.","At approximately 1:00 p.m., on 05/13/15, an employee was preparing to perform cleanout operations to change chemical products on a production line. The employee, who was by herself at the time, got stuck and pulled into an energized Horix Filling Machine. Coworkers arrived after hearing her scream, pressed the stop button on the Horix Filling Machine to shut it down, and used a tool to manually back up the machine belt. The employee was extracted from the machine by her coworkers. She suffered multiple injuries to her right arm and hand, including a 6"" laceration (to the bone) on her forearm, a severe laceration to her upper arm, a fracture or break of her wrist or forearm, and a possible right thumb amputation. She was hospitalized.",1.0,maintenance_repair,machinery,no_isolation,Energy Isolation
chemical,2017010057,1/4/2017,Mercy Health,622110,1.0,0.0,0.0,"Other respiratory system symptoms-toxic, noxious, or allergenic effect",BODY SYSTEMS,Inhalation of harmful substance-single episode,"Acids, n.e.c.","An employee was processing scopes in endoscopy. The cycle on the Steris machine finished and all safety checks and indicators completed and passed. The employee opened the lid to remove the scope and noticed some fumes (peracetic acid) coming from the machine. The employee had a burning sensation in the throat and lungs. Other employees assisted the employee out of the room into fresh air. The employee took a break and returned to work, but was having difficulty breathing. She was admitted to the hospital for treatment.","An employee was processing scopes in endoscopy. The cycle on the Steris machine finished and all safety checks and indicators completed and passed. The employee opened the lid to remove the scope and noticed some fumes (peracetic acid) coming from the machine. The employee had a burning sensation in the throat and lungs. Other employees assisted the employee out of the room into fresh air. The employee took a break and returned to work, but was having difficulty breathing. She was admitted to the hospital for treatment.",0.0,chemical_handling,chemical,none,none
chemical,2020066113,6/30/2020,"Reddi Services, Inc",238220,1.0,0.0,0.0,Third or fourth degree chemical burns and corrosions,Ankle(s),"Exposure through intact skin, eyes, or other exposed tissue",Lime,"An employee was removing lime from an outdoor pit by manipulating a 6"" diameter hose from a vacuum truck. The pit was estimated to be approximately 8' to 10' x 4' x 7' deep. The employee was wearing a protective garment, goggles, and a cartridge respirator. The employee sustained second degree chemical burns from the lime to the neck, abdomen, both upper both arms, both thighs, and both ankles, as well as third degree burns on one ankle.","An employee was removing lime from an outdoor pit by manipulating a 6"" diameter hose from a vacuum truck. The pit was estimated to be approximately 8' to 10' x 4' x 7' deep. The employee was wearing a protective garment, goggles, and a cartridge respirator. The employee sustained second degree chemical burns from the lime to the neck, abdomen, both upper both arms, both thighs, and both ankles, as well as third degree burns on one ankle.",0.0,chemical_handling,chemical,none,none
chemical,2023021172,2/6/2023,Florida Pacific Farms LLC,111334,1.0,0.0,0.0,"Chemical burns and corrosions, unspecified","Multiple body parts, n.e.c.","Exposure through intact skin, eyes, or other exposed tissue","Fertilizers, plant food, n.e.c.","An employee connected a hose to the valve connector on a mini-tote. As the employee was turning the handle of the valve to allow potassium thiosulfate fertilizer to flow through the hose, the connection burst from a suspected chemical reaction between the fertilizer and an unknown substance. The valve broke into pieces and the fertilizer spilled, causing chemical burns to the employee's eyes and right wrist. The employee also sustained a displaced fracture to a finger.","An employee connected a hose to the valve connector on a mini-tote. As the employee was turning the handle of the valve to allow potassium thiosulfate fertilizer to flow through the hose, the connection burst from a suspected chemical reaction between the fertilizer and an unknown substance. The valve broke into pieces and the fertilizer spilled, causing chemical burns to the employee's eyes and right wrist. The employee also sustained a displaced fracture to a finger.",0.0,chemical_handling,chemical,none,none
chemical,2025043495,4/15/2025,"Mass. Eye and Ear, Inc.",541715,1.0,0.0,0.0," Chemical burns, corrosions  degree unspecified"," Other multiple ear(s), facial locations", Exposure through intact tissue, Multiple chemicals and hazardous materials,"An employee was working in a research lab with a waste bottle containing 5% thiosulfate and trace amounts of other chemicals including silver nitrate, ammonium nitrate, and residual chemicals from earlier protocol steps. The bottle burst open from the bottom and its contents spilled out through the fume hood and via the partially open stash into the lab. The employee was standing right in front of the fume hood when this occurred, exposing her face, eyes, and neck to the spill. The employee was hospitalized due to chemical burns to her eyes, lips and tongue and to monitor her airway.","An employee was working in a research lab with a waste bottle containing 5% thiosulfate and trace amounts of other chemicals including silver nitrate, ammonium nitrate, and residual chemicals from earlier protocol steps. The bottle burst open from the bottom and its contents spilled out through the fume hood and via the partially open stash into the lab. The employee was standing right in front of the fume hood when this occurred, exposing her face, eyes, and neck to the spill. The employee was hospitalized due to chemical burns to her eyes, lips and tongue and to monitor her airway.",0.0,chemical_handling,chemical,none,none
machinery_maintenance,2015085991,8/21/2015,Jamestown Container Corporation   ,322211,0.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), n.e.c.","Caught in running equipment or machinery during maintenance, cleaning ","Paper production machinery, unspecified","An employee pulled Printing Section # 1 out of the Martin Machine and opened the interlocked cover on the ink rollers. He then took a pair of vise-grips, depressed the jog button, and clamped the button to the housing in the depressed position causing the rollers to rotate slowly. The employee then used a hose to spray water on the partially submerged  ink rollers to clean them. The inside of the container in which the rollers were partially submerged was painted black. The color of the ink was also black. The employee reached his  right hand into the liquid to see if it was clear, and his hand was pulled into the nip points of the rollers resulting in the amputation of the middle and ring fingers and one half of the index finger on his right hand.","An employee pulled Printing Section # 1 out of the Martin Machine and opened the interlocked cover on the ink rollers. He then took a pair of vise-grips, depressed the jog button, and clamped the button to the housing in the depressed position causing the rollers to rotate slowly. The employee then used a hose to spray water on the partially submerged ink rollers to clean them. The inside of the container in which the rollers were partially submerged was painted black. The color of the ink was also black. The employee reached his right hand into the liquid to see if it was clear, and his hand was pulled into the nip points of the rollers resulting in the amputation of the middle and ring fingers and one half of the index finger on his right hand.",1.0,maintenance_repair,machinery,barrier_bypassed,Bypassing Safety Controls
machinery_maintenance,20170712291,7/31/2017,"Railroad Engineering Services, LLC",482112,0.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), unspecified","Caught in running equipment or machinery during maintenance, cleaning ","Rail-mounted construction, cleaning, maintenance machine","On 7/31/2017, an employee was trying to repair a spiker machine. The employee was working under the machine and could not reach a broken screw. Another employee got in the machine and made an adjustment to the anvil so that the other employee could reach the screw. After the adjustment was made, the employee accidentally pumped the controls for the anvil again, causing it to cycle and pin the other employee's right hand to the track. The anvil then hammered approximately 3 to 5 times, crushing the employee's right index finger and requiring surgical amputation. The machine was not locked/tagged out at the time.","On 7/31/2017, an employee was trying to repair a spiker machine. The employee was working under the machine and could not reach a broken screw. Another employee got in the machine and made an adjustment to the anvil so that the other employee could reach the screw. After the adjustment was made, the employee accidentally pumped the controls for the anvil again, causing it to cycle and pin the other employee's right hand to the track. The anvil then hammered approximately 3 to 5 times, crushing the employee's right index finger and requiring surgical amputation. The machine was not locked/tagged out at the time.",1.0,maintenance_repair,machinery,no_isolation,Energy Isolation
machinery_maintenance,2020021324,2/10/2020,Vibracoustic USA Inc,339991,1.0,0.0,0.0,Concussions,Brain,"Caught in running equipment or machinery during maintenance, cleaning ","Presses, except printing, unspecified","Employees were working on a press machine that had a mold that was leaking rubber. The employees proceeded towards the control panel to manually lower the mold. The injured employee entered the machine between the front knock-out slides, with a flashlight and approached the mold. Upon starting the inspection of the donut, the employee heard a suction sound. The employee was startled as the top plate came down and he quickly turned his head down and away from the front side of the machine. The employee struck his forehead on the left side rails and then fell backwards and struck the backside of his head on the opposite rail. The employee received staples to the back of the head and stitches to an eye and was hospitalized for a concussion.","Employees were working on a press machine that had a mold that was leaking rubber. The employees proceeded towards the control panel to manually lower the mold. The injured employee entered the machine between the front knock-out slides, with a flashlight and approached the mold. Upon starting the inspection of the donut, the employee heard a suction sound. The employee was startled as the top plate came down and he quickly turned his head down and away from the front side of the machine. The employee struck his forehead on the left side rails and then fell backwards and struck the backside of his head on the opposite rail. The employee received staples to the back of the head and stitches to an eye and was hospitalized for a concussion.",1.0,maintenance_repair,machinery,no_isolation,Energy Isolation
